id_lot;nb_piece;typologie;prix_tva_reduite;prix_tva_normale;prix_HT;prix_m2_HT;prix_m2_TTC;surface;etage;orientation;exterieur;balcony;garden;parking;nom_programme;ville;departement;date_fin_programme;adresse_entiere;promoteur;date_extraction
87_2_LesBucoliques_Bouygues;4;Appartement;;258000;215000;2445.4;2934.49;87.92;2;SO;FALSE;FALSE;FALSE;1;Les Bucoliques;Cournon-d'Auvergne;63;novembre 2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;Bouygues;08/11/2021
89__3_LesBucoliques_Bouygues;4;Maison;;259000;215833.33;2413.97;2896.77;89.41;;NO;TRUE;FALSE;FALSE;1;Les Bucoliques;Cournon-d'Auvergne;63;novembre 2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;Bouygues;08/11/2021
90_LesBucoliques_Bouygues;4;Maison;;260000;216666.67;2398.35;2878.02;90.34;;SE;TRUE;FALSE;TRUE;0;Les Bucoliques;Cournon-d'Auvergne;63;novembre 2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;Bouygues;08/11/2021
97_LesBucoliques_Bouygues;4;Maison;;264000;220000;2246.5;2695.8;97.93;;SE;TRUE;FALSE;TRUE;0;Les Bucoliques;Cournon-d'Auvergne;63;novembre 2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;Bouygues;08/11/2021
90__1_LesBucoliques_Bouygues;4;Maison;;265000;220833.33;2444.47;2933.36;90.34;;SE;TRUE;FALSE;TRUE;0;Les Bucoliques;Cournon-d'Auvergne;63;novembre 2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;Bouygues;08/11/2021
90__2_LesBucoliques_Bouygues;4;Maison;;268000;223333.33;2472.14;2966.57;90.34;;SE;TRUE;FALSE;TRUE;0;Les Bucoliques;Cournon-d'Auvergne;63;novembre 2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;Bouygues;08/11/2021
97__1_LesBucoliques_Bouygues;4;Maison;;274000;228333.33;2331.6;2797.92;97.93;;SE;TRUE;FALSE;TRUE;0;Les Bucoliques;Cournon-d'Auvergne;63;novembre 2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;Bouygues;08/11/2021
87_2__1_LesBucoliques_Bouygues;4;Appartement;;275000;229166.67;2606.54;3127.84;87.92;2;SO;FALSE;FALSE;FALSE;1;Les Bucoliques;Cournon-d'Auvergne;63;novembre 2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;Bouygues;08/11/2021
97__2_LesBucoliques_Bouygues;4;Maison;;277000;230833.33;2357.13;2828.55;97.93;;SE;TRUE;FALSE;TRUE;0;Les Bucoliques;Cournon-d'Auvergne;63;novembre 2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;Bouygues;08/11/2021
97__3_LesBucoliques_Bouygues;4;Maison;;290000;241666.67;2467.75;2961.3;97.93;;SE;TRUE;FALSE;TRUE;0;Les Bucoliques;Cournon-d'Auvergne;63;novembre 2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;Bouygues;08/11/2021
83_5_PRISMELot3-BtimentsCDetE_Bouygues;4;Appartement;229638;261199.6209;217666.35;2603.04;3123.65;83.62;5;NO;FALSE;TRUE;FALSE;1;PRISME Lot 3 - Btiments C. D et E;Clermont-Ferrand;63;novembre 2022;131 BOULEVARD LAFAYETTE 63000 Clermont-Ferrand;Bouygues;08/11/2021
89_6_PRISMELot3-BtimentsCDetE_Bouygues;4;Appartement;;347200;289333.33;3222.69;3867.23;89.78;6;Traversant;FALSE;FALSE;FALSE;1;PRISME Lot 3 - Btiments C. D et E;Clermont-Ferrand;63;novembre 2022;131 BOULEVARD LAFAYETTE 63000 Clermont-Ferrand;Bouygues;08/11/2021
59_0_L'alcve_Bouygues;3;Appartement;178823;203400.5687;169500.47;2849.71;3419.65;59.48;0;N;FALSE;FALSE;FALSE;1;L'alcve;Clermont-Ferrand;63;aout 2023;91 RUE DE LA GANTIERE 63000 Clermont-Ferrand;Bouygues;08/11/2021
59_2_L'alcve_Bouygues;3;Appartement;183218;208399.6209;173666.35;2919.74;3503.69;59.48;2;N;FALSE;TRUE;FALSE;1;L'alcve;Clermont-Ferrand;63;aout 2023;91 RUE DE LA GANTIERE 63000 Clermont-Ferrand;Bouygues;08/11/2021
63_1_L'alcve_Bouygues;3;Appartement;190340;216500.4739;180417.06;2832.74;3399.29;63.69;1;S;FALSE;TRUE;FALSE;1;L'alcve;Clermont-Ferrand;63;aout 2023;91 RUE DE LA GANTIERE 63000 Clermont-Ferrand;Bouygues;08/11/2021
59_3_L'alcve_Bouygues;3;Appartement;192098;218500.0948;182083.41;3061.25;3673.51;59.48;3;N;FALSE;TRUE;FALSE;1;L'alcve;Clermont-Ferrand;63;aout 2023;91 RUE DE LA GANTIERE 63000 Clermont-Ferrand;Bouygues;08/11/2021
63_2_L'alcve_Bouygues;3;Appartement;194296;221000.1896;184166.82;2891.61;3469.94;63.69;2;S;FALSE;TRUE;FALSE;1;L'alcve;Clermont-Ferrand;63;aout 2023;91 RUE DE LA GANTIERE 63000 Clermont-Ferrand;Bouygues;08/11/2021
85_4_L'alcve_Bouygues;4;Appartement;297598;338500.0948;282083.41;3315.9;3979.08;85.07;4;Vue privil̩gi̩e;TRUE;FALSE;FALSE;1;L'alcve;Clermont-Ferrand;63;aout 2023;91 RUE DE LA GANTIERE 63000 Clermont-Ferrand;Bouygues;08/11/2021
45_5_CtSud_Bouygues;2;Appartement;;160000;133333.33;2957.7;3549.25;45.08;5;O;FALSE;TRUE;FALSE;1;Ct Sud;Clermont-Ferrand;63;novembre 2023;88 RUE DE LA GANTIERE 63000 Clermont-Ferrand;Bouygues;08/11/2021
61_5_CtSud_Bouygues;3;Appartement;178471;203000.1896;169166.82;2749.79;3299.74;61.52;5;S;FALSE;TRUE;FALSE;1;Ct Sud;Clermont-Ferrand;63;novembre 2023;88 RUE DE LA GANTIERE 63000 Clermont-Ferrand;Bouygues;08/11/2021
